chunk,shield_rate
0,0.8
1,0.6
2,0.6
3,1.0
4,0.6
5,0.6
6,0.6
7,0.4
8,0.4
9,0.4
10,0.6
11,0.8
12,0.8
13,0.2
14,0.6
15,0.4
16,0.8
17,0.6
18,0.6
19,0.6
20,1.0
21,0.6
22,0.6
23,0.6
24,0.4
25,0.4
26,0.4
27,0.4
28,0.8
29,0.8
30,1.0
31,0.8
32,0.8
33,1.0
34,0.8
35,0.8
36,0.8
37,0.8
38,0.6
39,1.0
40,0.4
41,0.0
42,0.6
43,0.4
44,1.0
45,0.6
46,0.8
47,0.8
48,0.8
49,0.6
50,0.4
51,0.4
52,0.4
53,0.4
54,1.0
55,0.4
56,1.0
57,0.8
58,0.6
59,0.6
60,0.6
61,0.8
62,0.6
63,0.8
64,0.6
65,0.8
66,0.2
67,0.8
68,0.6
69,1.0
70,0.4
71,0.8
72,0.8
73,0.6
74,0.4
75,0.6
76,0.4
77,0.6
78,0.6
79,0.4
80,1.0
81,0.8
82,0.6
83,1.0
84,0.8
85,0.6
86,0.6
87,0.4
88,0.8
89,1.0
90,0.8
91,0.6
92,0.4
93,1.0
94,0.6
95,0.6
96,0.2
97,0.6
98,0.4
99,0.4
100,0.4
101,0.4
102,0.8
103,1.0
104,1.0
105,0.6
106,0.4
107,0.8
108,0.8
109,0.8
110,0.4
111,0.8
112,0.6
113,0.4
114,0.6
115,0.8
116,0.6
117,0.6
118,1.0
119,0.6
120,0.8
121,0.4
122,0.6
123,0.4
124,0.6
125,1.0
126,0.6
127,0.4
128,0.8
129,0.2
130,0.8
131,0.6
132,0.6
133,1.0
134,0.6
135,1.0
136,0.6
137,1.0
138,0.8
139,0.6
140,0.4
141,0.6
142,0.6
143,0.6
144,0.8
145,0.8
146,0.6
147,0.6
148,0.6
149,1.0
150,0.6
151,0.8
152,0.8
153,0.8
154,0.8
155,0.8
156,0.8
157,0.4
158,0.4
159,0.6
160,1.0
161,1.0
162,0.8
163,1.0
164,0.4
165,0.4
166,0.6
167,0.6
168,1.0
169,0.6
170,0.4
171,0.8
172,0.6
173,0.6
174,0.6
175,0.8
176,0.4
177,0.6
178,1.0
179,0.6
180,0.6
181,0.8
182,0.6
183,1.0
184,0.8
185,1.0
