a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_best_sample,reward_exec,reward_raw,shielded,tt_after
3,17.07533473140829,0.12,0.13,0,149.66253761291503,150.41253761291503,0.75,,0,0,9.999999747378752e-05,,,-3.9527651579647602,,90.2710431431058
1,17.38990159703178,0.13,0.13,0,149.66253761291503,148.91253761291503,-0.75,,1,0,9.999999747378752e-05,,,-3.5029341509689766,,90.57151145923991
4,16.950314566865625,0.12,0.13,0,149.66253761291503,151.16253761291503,1.5,,2,0,9.999999747378752e-05,,,-4.053661723222355,,90.1094119109785
1,17.38990159703178,0.13,0.13,0,149.66253761291503,148.91253761291503,-0.75,,3,0,9.999999747378752e-05,,,-3.5029341509689766,,90.57151145923991
4,16.950314566865625,0.12,0.13,0,149.66253761291503,151.16253761291503,1.5,,4,0,9.999999747378752e-05,,,-4.053661723222355,,90.1094119109785
3,17.07533473140829,0.12,0.13,0,149.66253761291503,150.41253761291503,0.75,,5,0,9.999999747378752e-05,,,-3.9527651579647602,,90.2710431431058
1,17.38990159703178,0.13,0.13,0,149.66253761291503,148.91253761291503,-0.75,,6,0,9.999999747378752e-05,,,-3.5029341509689766,,90.57151145923991
0,17.595579932247137,0.14,0.13,0,149.66253761291503,148.16253761291503,-1.5,,7,0,9.999999747378752e-05,,,-3.24991771327571,,90.72278171494882
3,17.07533473140829,0.12,0.13,0,149.66253761291503,150.41253761291503,0.75,,8,0,9.999999747378752e-05,,,-3.9527651579647602,,90.2710431431058
1,17.38990159703178,0.13,0.13,0,149.66253761291503,148.91253761291503,-0.75,,9,0,9.999999747378752e-05,,,-3.5029341509689766,,90.57151145923991
4,16.950314566865625,0.12,0.13,0,149.66253761291503,151.16253761291503,1.5,,10,0,9.999999747378752e-05,,,-4.053661723222355,,90.1094119109785
1,17.38990159703178,0.13,0.13,0,149.66253761291503,148.91253761291503,-0.75,,11,0,9.999999747378752e-05,,,-3.5029341509689766,,90.57151145923991
4,16.950314566865625,0.12,0.13,0,149.66253761291503,151.16253761291503,1.5,,12,0,9.999999747378752e-05,,,-4.053661723222355,,90.1094119109785
0,17.595579932247137,0.14,0.13,0,149.66253761291503,148.16253761291503,-1.5,,13,0,9.999999747378752e-05,,,-3.24991771327571,,90.72278171494882
4,16.950314566865625,0.12,0.13,0,149.66253761291503,151.16253761291503,1.5,,14,0,9.999999747378752e-05,,,-4.053661723222355,,90.1094119109785
2,17.188256170350055,0.13,0.13,0,149.66253761291503,149.66253761291503,0.0,,15,0,9.999999747378752e-05,,,-3.4040336994376577,,90.3974470554105
0,17.188256170350055,0.14,0.13,0,149.66253761291503,149.66253761291503,-1.5,1,7,0,9.999999747378752e-05,-3.24991774559021,-3.24991771327571,,1,90.3974470554105
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,0,1,0.0,,,-0.3029341509689759,,90.57151145923991
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,1,1,0.0,,,-0.3029341509689759,,90.57151145923991
4,17.188256170350055,0.29,0.29,0,148.16253761291503,149.66253761291503,1.5,,2,1,0.0,,,-0.4040336994376571,,90.3974470554105
2,17.595579932247137,0.29,0.29,0,148.16253761291503,148.16253761291503,0.0,,3,1,0.0,,,-0.20191771327570956,,90.72278171494882
4,17.188256170350055,0.29,0.29,0,148.16253761291503,149.66253761291503,1.5,,4,1,0.0,,,-0.4040336994376571,,90.3974470554105
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,5,1,0.0,,,-0.3029341509689759,,90.57151145923991
4,17.188256170350055,0.29,0.29,0,148.16253761291503,149.66253761291503,1.5,,6,1,0.0,,,-0.4040336994376571,,90.3974470554105
0,17.829488627197936,0.31,0.29,0,148.16253761291503,146.66253761291503,-1.5,,7,1,0.0,,,-1.3922231562778684,,91.02946661693397
2,17.595579932247137,0.29,0.29,0,148.16253761291503,148.16253761291503,0.0,,8,1,0.0,,,-0.20191771327570956,,90.72278171494882
2,17.595579932247137,0.29,0.29,0,148.16253761291503,148.16253761291503,0.0,,9,1,0.0,,,-0.20191771327570956,,90.72278171494882
2,17.595579932247137,0.29,0.29,0,148.16253761291503,148.16253761291503,0.0,,10,1,0.0,,,-0.20191771327570956,,90.72278171494882
2,17.595579932247137,0.29,0.29,0,148.16253761291503,148.16253761291503,0.0,,11,1,0.0,,,-0.20191771327570956,,90.72278171494882
4,17.188256170350055,0.29,0.29,0,148.16253761291503,149.66253761291503,1.5,,12,1,0.0,,,-0.4040336994376571,,90.3974470554105
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,13,1,0.0,,,-0.3029341509689759,,90.57151145923991
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,14,1,0.0,,,-0.3029341509689759,,90.57151145923991
3,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,0.75,,15,1,0.0,,,-0.3029341509689759,,90.57151145923991
2,17.38990159703178,0.29,0.29,0,148.16253761291503,148.91253761291503,1.5,1,3,1,0.0,-0.20191770792007446,-0.4040336994376571,,1,90.57151145923991
2,17.188256170350055,0.28,0.28,0,149.66253761291503,149.66253761291503,0.0,,0,2,9.999999747378752e-05,,,0.19596630056234104,,90.3974470554105
2,17.188256170350055,0.28,0.28,0,149.66253761291503,149.66253761291503,0.0,,1,2,9.999999747378752e-05,,,0.19596630056234104,,90.3974470554105
2,17.188256170350055,0.28,0.28,0,149.66253761291503,149.66253761291503,0.0,,2,2,9.999999747378752e-05,,,0.19596630056234104,,90.3974470554105
0,17.595579932247137,0.3,0.28,0,149.66253761291503,148.16253761291503,-1.5,,3,2,9.999999747378752e-05,,,-0.9939177132757091,,90.72278171494882
1,17.38990159703178,0.28,0.28,0,149.66253761291503,148.91253761291503,-0.75,,4,2,9.999999747378752e-05,,,0.0970658490310222,,90.57151145923991
1,17.38990159703178,0.28,0.28,0,149.66253761291503,148.91253761291503,-0.75,,5,2,9.999999747378752e-05,,,0.0970658490310222,,90.57151145923991
3,17.07533473140829,0.27,0.28,0,149.66253761291503,150.41253761291503,0.75,,6,2,9.999999747378752e-05,,,0.6072348420352387,,90.2710431431058
0,17.595579932247137,0.3,0.28,0,149.66253761291503,148.16253761291503,-1.5,,7,2,9.999999747378752e-05,,,-0.9939177132757091,,90.72278171494882
1,17.38990159703178,0.28,0.28,0,149.66253761291503,148.91253761291503,-0.75,,8,2,9.999999747378752e-05,,,0.0970658490310222,,90.57151145923991
3,17.07533473140829,0.27,0.28,0,149.66253761291503,150.41253761291503,0.75,,9,2,9.999999747378752e-05,,,0.6072348420352387,,90.2710431431058
1,17.38990159703178,0.28,0.28,0,149.66253761291503,148.91253761291503,-0.75,,10,2,9.999999747378752e-05,,,0.0970658490310222,,90.57151145923991
3,17.07533473140829,0.27,0.28,0,149.66253761291503,150.41253761291503,0.75,,11,2,9.999999747378752e-05,,,0.6072348420352387,,90.2710431431058
2,17.188256170350055,0.28,0.28,0,149.66253761291503,149.66253761291503,0.0,,12,2,9.999999747378752e-05,,,0.19596630056234104,,90.3974470554105
2,17.188256170350055,0.28,0.28,0,149.66253761291503,149.66253761291503,0.0,,13,2,9.999999747378752e-05,,,0.19596630056234104,,90.3974470554105
0,17.595579932247137,0.3,0.28,0,149.66253761291503,148.16253761291503,-1.5,,14,2,9.999999747378752e-05,,,-0.9939177132757091,,90.72278171494882
4,16.950314566865625,0.27,0.28,0,149.66253761291503,151.16253761291503,1.5,,15,2,9.999999747378752e-05,,,0.5063382767776441,,90.1094119109785
3,16.950314566865625,0.27,0.28,0,149.66253761291503,151.16253761291503,1.5,1,6,2,9.999999747378752e-05,0.6072348356246948,0.5063382767776441,,1,90.1094119109785
4,16.752702048717534,0.24,0.27,0,151.16253761291503,152.66253761291503,1.5,,0,3,9.999999747378752e-05,,,0.6007080233522726,,89.80065481370964
4,16.752702048717534,0.24,0.27,0,151.16253761291503,152.66253761291503,1.5,,1,3,9.999999747378752e-05,,,0.6007080233522726,,89.80065481370964
2,16.950314566865625,0.27,0.27,0,151.16253761291503,151.16253761291503,0.0,,2,3,9.999999747378752e-05,,,0.7543382767776441,,90.1094119109785
