a,aa_after,bg_after,bg_before,chunk,cut_before,cut_next,delta,executed,k,micro,occ_mid,reward_exec,reward_raw,shielded,tt_after
4,18.140022584287788,0.13,0.13,0,247.0,249.0,2.0,,0,0,0.000699999975040555,,-3.5865721244198863,,94.2869576028845
1,18.660267785126635,0.13,0.13,0,247.0,246.0,-1.0,,1,0,0.000699999975040555,,-3.4841888514743817,,94.62265323884122
2,18.50298435231489,0.13,0.13,0,247.0,247.0,0.0,,2,0,0.000699999975040555,,-3.38496759008355,,94.50661030295495
2,18.50298435231489,0.13,0.13,0,247.0,247.0,0.0,,3,0,0.000699999975040555,,-3.38496759008355,,94.50661030295495
1,18.660267785126635,0.13,0.13,0,247.0,246.0,-1.0,,4,0,0.000699999975040555,,-3.4841888514743817,,94.62265323884122
3,18.301338925633168,0.13,0.13,0,247.0,248.0,1.0,,5,0,0.000699999975040555,,-3.485793608774785,,94.4009283434871
1,18.660267785126635,0.13,0.13,0,247.0,246.0,-1.0,,6,0,0.000699999975040555,,-3.4841888514743817,,94.62265323884122
2,18.50298435231489,0.13,0.13,0,247.0,247.0,0.0,,7,0,0.000699999975040555,,-3.38496759008355,,94.50661030295495
0,18.833682852072915,0.13,0.13,0,247.0,245.0,-2.0,,8,0,0.000699999975040555,,-3.5834027159403483,,94.73247958887646
3,18.301338925633168,0.13,0.13,0,247.0,248.0,1.0,,9,0,0.000699999975040555,,-3.485793608774785,,94.4009283434871
1,18.660267785126635,0.13,0.13,0,247.0,246.0,-1.0,,10,0,0.000699999975040555,,-3.4841888514743817,,94.62265323884122
2,18.50298435231489,0.13,0.13,0,247.0,247.0,0.0,,11,0,0.000699999975040555,,-3.38496759008355,,94.50661030295495
1,18.660267785126635,0.13,0.13,0,247.0,246.0,-1.0,,12,0,0.000699999975040555,,-3.4841888514743817,,94.62265323884122
0,18.833682852072915,0.13,0.13,0,247.0,245.0,-2.0,,13,0,0.000699999975040555,,-3.5834027159403483,,94.73247958887646
4,18.140022584287788,0.13,0.13,0,247.0,249.0,2.0,,14,0,0.000699999975040555,,-3.5865721244198863,,94.2869576028845
2,18.50298435231489,0.13,0.13,0,247.0,247.0,0.0,,15,0,0.000699999975040555,,-3.38496759008355,,94.50661030295495
2,18.833682852072915,0.13,0.13,0,247.0,245.0,-2.0,1,2,0,0.000699999975040555,-3.5834027159403483,-3.384967565536499,1,94.73247958887646
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,0,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
0,19.188578803032748,0.24,0.23,0,245.0,243.0,-2.0,,1,1,0.0010000000474974513,,1.010310018478874,,94.98321521820216
3,18.660267785126635,0.22,0.23,0,245.0,246.0,1.0,,2,1,0.0010000000474974513,,0.06781114852561813,,94.62265323884122
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,3,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
4,18.50298435231489,0.22,0.23,0,245.0,247.0,2.0,,4,1,0.0010000000474974513,,-0.03296759008355048,,94.50661030295495
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,5,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
2,18.833682852072915,0.23,0.23,0,245.0,245.0,0.0,,6,1,0.0010000000474974513,,0.7765972840596523,,94.73247958887646
3,18.660267785126635,0.22,0.23,0,245.0,246.0,1.0,,7,1,0.0010000000474974513,,0.06781114852561813,,94.62265323884122
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,8,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
3,18.660267785126635,0.22,0.23,0,245.0,246.0,1.0,,9,1,0.0010000000474974513,,0.06781114852561813,,94.62265323884122
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,10,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
3,18.660267785126635,0.22,0.23,0,245.0,246.0,1.0,,11,1,0.0010000000474974513,,0.06781114852561813,,94.62265323884122
2,18.833682852072915,0.23,0.23,0,245.0,245.0,0.0,,12,1,0.0010000000474974513,,0.7765972840596523,,94.73247958887646
2,18.833682852072915,0.23,0.23,0,245.0,245.0,0.0,,13,1,0.0010000000474974513,,0.7765972840596523,,94.73247958887646
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,,14,1,0.0010000000474974513,,1.109490504856234,,94.86302789174852
4,18.50298435231489,0.22,0.23,0,245.0,247.0,2.0,,15,1,0.0010000000474974513,,-0.03296759008355048,,94.50661030295495
1,19.0191966446201,0.24,0.23,0,245.0,244.0,-1.0,1,0,1,0.0010000000474974513,1.109490504856234,1.1094905138015747,0,94.86302789174852
3,18.833682852072915,0.31,0.31,0,244.0,245.0,1.0,,0,2,0.0010999999940395355,,-1.0834027159403483,,94.73247958887646
1,19.188578803032748,0.31,0.31,0,244.0,243.0,-1.0,,1,2,0.0010999999940395355,,-1.0816899815211258,,94.98321521820216
2,19.0191966446201,0.31,0.31,0,244.0,244.0,0.0,,2,2,0.0010999999940395355,,-0.9825094951437656,,94.86302789174852
3,18.833682852072915,0.31,0.31,0,244.0,245.0,1.0,,3,2,0.0010999999940395355,,-1.0834027159403483,,94.73247958887646
2,19.0191966446201,0.31,0.31,0,244.0,244.0,0.0,,4,2,0.0010999999940395355,,-0.9825094951437656,,94.86302789174852
0,19.33376351024359,0.31,0.31,0,244.0,242.0,-2.0,,5,2,0.0010999999940395355,,-1.1808442637706769,,95.12205230220896
0,19.33376351024359,0.31,0.31,0,244.0,242.0,-2.0,,6,2,0.0010999999940395355,,-1.1808442637706769,,95.12205230220896
3,18.833682852072915,0.31,0.31,0,244.0,245.0,1.0,,7,2,0.0010999999940395355,,-1.0834027159403483,,94.73247958887646
0,19.33376351024359,0.31,0.31,0,244.0,242.0,-2.0,,8,2,0.0010999999940395355,,-1.1808442637706769,,95.12205230220896
0,19.33376351024359,0.31,0.31,0,244.0,242.0,-2.0,,9,2,0.0010999999940395355,,-1.1808442637706769,,95.12205230220896
1,19.188578803032748,0.31,0.31,0,244.0,243.0,-1.0,,10,2,0.0010999999940395355,,-1.0816899815211258,,94.98321521820216
2,19.0191966446201,0.31,0.31,0,244.0,244.0,0.0,,11,2,0.0010999999940395355,,-0.9825094951437656,,94.86302789174852
0,19.33376351024359,0.31,0.31,0,244.0,242.0,-2.0,,12,2,0.0010999999940395355,,-1.1808442637706769,,95.12205230220896
4,18.660267785126635,0.31,0.31,0,244.0,246.0,2.0,,13,2,0.0010999999940395355,,-1.1841888514743817,,94.62265323884122
1,19.188578803032748,0.31,0.31,0,244.0,243.0,-1.0,,14,2,0.0010999999940395355,,-1.0816899815211258,,94.98321521820216
1,19.188578803032748,0.31,0.31,0,244.0,243.0,-1.0,,15,2,0.0010999999940395355,,-1.0816899815211258,,94.98321521820216
2,18.660267785126635,0.31,0.31,0,244.0,246.0,2.0,1,2,2,0.0010999999940395355,-1.1841888514743817,-0.9825094938278198,1,94.62265323884122
3,18.50298435231489,0.34,0.35,0,246.0,247.0,1.0,,0,3,0.002300000051036477,,-2.332967590083551,,94.50661030295495
1,18.833682852072915,0.38,0.35,0,246.0,245.0,-1.0,,1,3,0.002300000051036477,,-4.315402715940349,,94.73247958887646
2,18.660267785126635,0.35,0.35,0,246.0,246.0,0.0,,2,3,0.002300000051036477,,-2.584188851474381,,94.62265323884122
0,19.0191966446201,0.38,0.35,0,246.0,244.0,-2.0,,3,3,0.002300000051036477,,-4.414509495143767,,94.86302789174852
4,18.301338925633168,0.31,0.35,0,246.0,248.0,2.0,,4,3,0.002300000051036477,,-1.9537936087747845,,94.4009283434871
1,18.833682852072915,0.38,0.35,0,246.0,245.0,-1.0,,5,3,0.002300000051036477,,-4.315402715940349,,94.73247958887646
3,18.50298435231489,0.34,0.35,0,246.0,247.0,1.0,,6,3,0.002300000051036477,,-2.332967590083551,,94.50661030295495
0,19.0191966446201,0.38,0.35,0,246.0,244.0,-2.0,,7,3,0.002300000051036477,,-4.414509495143767,,94.86302789174852
1,18.833682852072915,0.38,0.35,0,246.0,245.0,-1.0,,8,3,0.002300000051036477,,-4.315402715940349,,94.73247958887646
0,19.0191966446201,0.38,0.35,0,246.0,244.0,-2.0,,9,3,0.002300000051036477,,-4.414509495143767,,94.86302789174852
2,18.660267785126635,0.35,0.35,0,246.0,246.0,0.0,,10,3,0.002300000051036477,,-2.584188851474381,,94.62265323884122
1,18.833682852072915,0.38,0.35,0,246.0,245.0,-1.0,,11,3,0.002300000051036477,,-4.315402715940349,,94.73247958887646
0,19.0191966446201,0.38,0.35,0,246.0,244.0,-2.0,,12,3,0.002300000051036477,,-4.414509495143767,,94.86302789174852
4,18.301338925633168,0.31,0.35,0,246.0,248.0,2.0,,13,3,0.002300000051036477,,-1.9537936087747845,,94.4009283434871
3,18.50298435231489,0.34,0.35,0,246.0,247.0,1.0,,14,3,0.002300000051036477,,-2.332967590083551,,94.50661030295495
3,18.50298435231489,0.34,0.35,0,246.0,247.0,1.0,,15,3,0.002300000051036477,,-2.332967590083551,,94.50661030295495
4,18.301338925633168,0.31,0.35,0,246.0,248.0,2.0,1,4,3,0.002300000051036477,-1.9537936087747845,-1.9537936449050903,1,94.4009283434871
0,18.660267785126635,0.32,0.31,0,248.0,246.0,-2.0,,0,4,0.0012000000569969416,,-1.632188851474382,,94.62265323884122
0,18.660267785126635,0.32,0.31,0,248.0,246.0,-2.0,,1,4,0.0012000000569969416,,-1.632188851474382,,94.62265323884122
2,18.301338925633168,0.31,0.31,0,248.0,248.0,0.0,,2,4,0.0012000000569969416,,-0.9857936087747852,,94.4009283434871
4,17.966607517341508,0.31,0.31,0,248.0,250.0,2.0,,3,4,0.0012000000569969416,,-1.187474302889806,,94.1481205188777
4,17.966607517341508,0.31,0.31,0,248.0,250.0,2.0,,4,4,0.0012000000569969416,,-1.187474302889806,,94.1481205188777
0,18.660267785126635,0.32,0.31,0,248.0,246.0,-2.0,,5,4,0.0012000000569969416,,-1.632188851474382,,94.62265323884122
0,18.660267785126635,0.32,0.31,0,248.0,246.0,-2.0,,6,4,0.0012000000569969416,,-1.632188851474382,,94.62265323884122
2,18.301338925633168,0.31,0.31,0,248.0,248.0,0.0,,7,4,0.0012000000569969416,,-0.9857936087747852,,94.4009283434871
3,18.140022584287788,0.31,0.31,0,248.0,249.0,1.0,,8,4,0.0012000000569969416,,-1.0865721244198865,,94.2869576028845
1,18.50298435231489,0.31,0.31,0,248.0,247.0,-1.0,,9,4,0.0012000000569969416,,-1.0849675900835505,,94.50661030295495
3,18.140022584287788,0.31,0.31,0,248.0,249.0,1.0,,10,4,0.0012000000569969416,,-1.0865721244198865,,94.2869576028845
1,18.50298435231489,0.31,0.31,0,248.0,247.0,-1.0,,11,4,0.0012000000569969416,,-1.0849675900835505,,94.50661030295495
1,18.50298435231489,0.31,0.31,0,248.0,247.0,-1.0,,12,4,0.0012000000569969416,,-1.0849675900835505,,94.50661030295495
3,18.140022584287788,0.31,0.31,0,248.0,249.0,1.0,,13,4,0.0012000000569969416,,-1.0865721244198865,,94.2869576028845
2,18.301338925633168,0.31,0.31,0,248.0,248.0,0.0,,14,4,0.0012000000569969416,,-0.9857936087747852,,94.4009283434871
4,17.966607517341508,0.31,0.31,0,248.0,250.0,2.0,,15,4,0.0012000000569969416,,-1.187474302889806,,94.1481205188777
2,17.966607517341508,0.31,0.31,0,248.0,250.0,2.0,1,2,4,0.0012000000569969416,-1.187474302889806,-0.9857935905456543,1,94.1481205188777
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,0,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
3,17.813356993063397,0.21,0.22,1,250.0,251.0,1.0,,1,5,0.0012000000569969416,,-0.33625474907469627,,94.02963423479432
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,2,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,3,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
2,17.966607517341508,0.22,0.22,1,250.0,250.0,0.0,,4,5,0.0012000000569969416,,0.21252424187128027,,94.1477567091493
1,18.140022584287788,0.22,0.22,1,250.0,249.0,-1.0,,5,5,0.0012000000569969416,,0.11342645486705247,,94.2866024246192
2,17.966607517341508,0.22,0.22,1,250.0,250.0,0.0,,6,5,0.0012000000569969416,,0.21252424187128027,,94.1477567091493
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,7,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
1,18.140022584287788,0.22,0.22,1,250.0,249.0,-1.0,,8,5,0.0012000000569969416,,0.11342645486705247,,94.2866024246192
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,9,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
3,17.813356993063397,0.21,0.22,1,250.0,251.0,1.0,,10,5,0.0012000000569969416,,-0.33625474907469627,,94.02963423479432
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,11,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
1,18.140022584287788,0.22,0.22,1,250.0,249.0,-1.0,,12,5,0.0012000000569969416,,0.11342645486705247,,94.2866024246192
4,17.652040651718018,0.21,0.22,1,250.0,252.0,2.0,,13,5,0.0012000000569969416,,-0.4369669786903474,,93.93223500155425
1,18.140022584287788,0.22,0.22,1,250.0,249.0,-1.0,,14,5,0.0012000000569969416,,0.11342645486705247,,94.2866024246192
1,18.140022584287788,0.22,0.22,1,250.0,249.0,-1.0,,15,5,0.0012000000569969416,,0.11342645486705247,,94.2866024246192
2,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,1,4,5,0.0012000000569969416,0.8622049988542712,0.21252423524856567,1,94.40058025075122
3,18.140022584287788,0.27,0.28,1,248.0,249.0,1.0,,0,6,0.0010000000474974513,,0.6254264548670513,,94.2866024246192
1,18.50298435231489,0.28,0.28,1,248.0,247.0,-1.0,,1,6,0.0010000000474974513,,0.11503104382637777,,94.50626878043727
4,17.966607517341508,0.27,0.28,1,248.0,250.0,2.0,,2,6,0.0010000000474974513,,0.524524241871279,,94.1477567091493
4,17.966607517341508,0.27,0.28,1,248.0,250.0,2.0,,3,6,0.0010000000474974513,,0.524524241871279,,94.1477567091493
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,4,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,5,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,6,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,7,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
3,18.140022584287788,0.27,0.28,1,248.0,249.0,1.0,,8,6,0.0010000000474974513,,0.6254264548670513,,94.2866024246192
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,9,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
1,18.50298435231489,0.28,0.28,1,248.0,247.0,-1.0,,10,6,0.0010000000474974513,,0.11503104382637777,,94.50626878043727
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,11,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
3,18.140022584287788,0.27,0.28,1,248.0,249.0,1.0,,12,6,0.0010000000474974513,,0.6254264548670513,,94.2866024246192
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,13,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
3,18.140022584287788,0.27,0.28,1,248.0,249.0,1.0,,14,6,0.0010000000474974513,,0.6254264548670513,,94.2866024246192
0,18.660267785126635,0.28,0.28,1,248.0,246.0,-2.0,,15,6,0.0010000000474974513,,0.015809811292975262,,94.62231893068076
3,17.966607517341508,0.27,0.28,1,248.0,250.0,2.0,1,0,6,0.0010000000474974513,0.524524241871279,0.6254264712333679,1,94.1477567091493
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,0,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
3,17.813356993063397,0.24,0.24,1,250.0,251.0,1.0,,1,7,0.0010000000474974513,,1.1517452509253037,,94.02963423479432
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,2,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
3,17.813356993063397,0.24,0.24,1,250.0,251.0,1.0,,3,7,0.0010000000474974513,,1.1517452509253037,,94.02963423479432
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,4,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
2,17.966607517341508,0.24,0.24,1,250.0,250.0,0.0,,5,7,0.0010000000474974513,,1.25252424187128,,94.1477567091493
4,17.652040651718018,0.24,0.24,1,250.0,252.0,2.0,,6,7,0.0010000000474974513,,1.0510330213096528,,93.93223500155425
2,17.966607517341508,0.24,0.24,1,250.0,250.0,0.0,,7,7,0.0010000000474974513,,1.25252424187128,,94.1477567091493
1,18.140022584287788,0.24,0.24,1,250.0,249.0,-1.0,,8,7,0.0010000000474974513,,1.153426454867052,,94.2866024246192
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,9,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
4,17.652040651718018,0.24,0.24,1,250.0,252.0,2.0,,10,7,0.0010000000474974513,,1.0510330213096528,,93.93223500155425
2,17.966607517341508,0.24,0.24,1,250.0,250.0,0.0,,11,7,0.0010000000474974513,,1.25252424187128,,94.1477567091493
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,12,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
0,18.301338925633168,0.24,0.24,1,250.0,248.0,-2.0,,13,7,0.0010000000474974513,,1.054204998854271,,94.40058025075122
1,18.140022584287788,0.24,0.24,1,250.0,249.0,-1.0,,14,7,0.0010000000474974513,,1.153426454867052,,94.2866024246192
4,17.652040651718018,0.24,0.24,1,250.0,252.0,2.0,,15,7,0.0010000000474974513,,1.0510330213096528,,93.93223500155425
2,17.966607517341508,0.24,0.24,1,250.0,250.0,0.0,1,5,7,0.0010000000474974513,1.25252424187128,1.2525242567062378,0,94.1477567091493
0,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,,0,8,0.00139999995008111,,0.8622049988542712,,94.40058025075122
0,18.301338925633168,0.24,0.22,1,250.0,248.0,-2.0,,1,8,0.00139999995008111,,0.8622049988542712,,94.40058025075122
